Competition: Euro Championship, Country: World
Competition: Confederations Cup, Country: World
Competition: Ligue 1, Country: France
Competition: Jupiler Pro League, Country: Belgium
Competition: Serie A, Country: Brazil
Competition: Premier League, Country: England
Competition: Bundesliga, Country: Germany
Competition: Serie A, Country: Italy
Competition: Eredivisie, Country: Netherlands
Competition: Primeira Liga, Country: Portugal
Competition: La Liga, Country: Spain
Competition: Premiership, Country: Scotland
Competition: Championship, Country: Scotland
Competition: World Cup, Country: World
Competition: Asian Games, Country: World
Competition: Caribbean Cup, Country: World
Competition: Ligue 2, Country: France
Competition: UEFA Champions League, Country: World
Competition: 1st Division, Country: Albania
Competition: Superliga, Country: Albania
Competition: Ligue 1, Country: Algeria
Competition: Ligue 2, Country: Algeria
Competition: Vysshaya Liga, Country: Tajikistan
Competition: West Bank Premier League, Country: Palestine
Competition: National League, Country: Myanmar
Competition: Pro League, Country: Trinidad-And-Tobago
Competition: Cup, Country: Ukraine
Competition: Druha Liga, Country: Ukraine
Competition: Persha Liga, Country: Ukraine
Competition: Premier League, Country: Ukraine
Competition: Pro League, Country: United-Arab-Emirates
Competition: Division 1, Country: United-Arab-Emirates
Competition: League Cup, Country: United-Arab-Emirates
Competition: Segunda División, Country: Uruguay
Competition: Ligue 1, Country: Tunisia
Competition: Süper Lig, Country: Turkey
Competition: 1. Lig, Country: Turkey
Competition: 2. Lig, Country: Turkey
Competition: Cup, Country: Turkey
Competition: 3. Lig - Group 1, Country: Turkey
Competition: 3. Lig - Group 2, Country: Turkey
Competition: 3. Lig - Group 3, Country: Turkey
Competition: National 1, Country: France
Competition: Coupe de France, Country: France
Competition: Coupe de la Ligue, Country: France
Competition: National 2 - Group A, Country: France
Competition: National 2 - Group B, Country: France
Competition: National 2 - Group C, Country: France
Competition: National 2 - Group D, Country: France
Competition: Premier League, Country: Egypt
Competition: Primera Division, Country: El-Salvador
Competition: Esiliiga A, Country: Estonia
Competition: Meistriliiga, Country: Estonia
Competition: Erovnuli Liga 2, Country: Georgia
Competition: Premier League, Country: Ghana
Competition: Division d'Honneur, Country: Guadeloupe
Competition: Liga Nacional, Country: Guatemala
Competition: Primera Division, Country: Guatemala
Competition: Cup, Country: Greece
Competition: Football League, Country: Greece
Competition: Super League 1, Country: Greece
Competition: 2. Bundesliga, Country: Germany
Competition: 3. Liga, Country: Germany
Competition: Super Cup, Country: Germany
Competition: DFB Pokal, Country: Germany
Competition: Asian Cup, Country: World
Competition: World Cup - Women, Country: World
Competition: 2nd Division - Group A, Country: Albania
Competition: 2nd Division - Group B, Country: Albania
Competition: 1a Divisió, Country: Andorra
Competition: 2a Divisió, Country: Andorra
Competition: Primera B Metropolitana, Country: Argentina
Competition: Primera Nacional, Country: Argentina
Competition: Primera C, Country: Argentina
Competition: Primera D, Country: Argentina
Competition: Torneo Federal A, Country: Argentina
Competition: A-League, Country: Australia
Competition: Brisbane Premier League, Country: Australia
Competition: Northern Territory Premier League, Country: Australia
Competition: Cup, Country: Austria
Competition: 2. Liga, Country: Austria
Competition: Bundesliga, Country: Austria
Competition: Birinci Dasta, Country: Azerbaidjan
Competition: Premyer Liqa, Country: Azerbaidjan
Competition: Regionalliga - Mitte, Country: Austria
Competition: Regionalliga - Ost, Country: Austria
Competition: Regionalliga - West, Country: Austria
Competition: Premier League, Country: Wales
Competition: Welsh Cup, Country: Wales
Competition: Primera División, Country: Venezuela
Competition: Segunda División, Country: Venezuela
Competition: Professional League, Country: Oman
Competition: Premier League, Country: Jamaica
Competition: League, Country: Jordan
Competition: 1. Division, Country: Kazakhstan
Competition: Premier League, Country: Kuwait
Competition: Superliga, Country: Denmark
Competition: 1. Division, Country: Denmark
Competition: Denmark Series - Group 1, Country: Denmark
Competition: Denmark Series - Group 2, Country: Denmark
Competition: Denmark Series - Group 3, Country: Denmark
Competition: Liga Nacional, Country: Honduras
Competition: HKFA 1st Division, Country: Hong-Kong
Competition: Premier League, Country: Hong-Kong
Competition: Magyar Kupa, Country: Hungary
Competition: NB I, Country: Hungary
Competition: NB II, Country: Hungary
Competition: Premier League, Country: Lebanon
Competition: National Division, Country: Luxembourg
Competition: Second Division, Country: Qatar
Competition: Stars League, Country: Qatar
Competition: Championship, Country: England
Competition: EFL Trophy, Country: England
Competition: FA Cup, Country: England
Competition: FA Trophy, Country: England
Competition: League Cup, Country: England
Competition: National League, Country: England
Competition: League One, Country: England
Competition: League Two, Country: England
Competition: Eerste Divisie, Country: Surinam
Competition: FIFA Intercontinental Cup, Country: World
Competition: Premier League, Country: Barbados
Competition: Olympics Men, Country: World
Competition: CECAFA Senior Challenge Cup, Country: World
Competition: Serie B, Country: Brazil
Competition: Serie C, Country: Brazil
Competition: Serie D, Country: Brazil
Competition: Premier League, Country: Uganda
Competition: Première Division, Country: Mali
Competition: Major League Soccer, Country: USA
Competition: US Open Cup, Country: USA
Competition: Primera División - Apertura, Country: Uruguay
Competition: Primera División - Clausura, Country: Uruguay
Competition: Super League, Country: Uzbekistan
Competition: Thai League 1, Country: Thailand
Competition: Thai League 2, Country: Thailand
Competition: Super Cup, Country: Turkey
Competition: 1. Deild, Country: Faroe-Islands
Competition: Meistaradeildin, Country: Faroe-Islands
Competition: Ykkönen, Country: Finland
Competition: Veikkausliiga, Country: Finland
Competition: Suomen Cup, Country: Finland
Competition: Kakkonen - Lohko A, Country: Finland
Competition: Kakkonen - Lohko B, Country: Finland
Competition: Kakkonen - Lohko C, Country: Finland
Competition: Trophée des Champions, Country: France
Competition: Liga Pro, Country: Ecuador
Competition: Liga Pro Serie B, Country: Ecuador
Competition: Super Cup, Country: Egypt
Competition: Girabola, Country: Angola
Competition: First League, Country: Armenia
Competition: Premier League, Country: Armenia
Competition: Northern NSW NPL, Country: Australia
Competition: Premier League, Country: Belarus
Competition: 1. Division, Country: Belarus
Competition: 2. Division, Country: Belarus
Competition: Super League, Country: Zambia
Competition: V.League 1, Country: Vietnam
Competition: Emperor Cup, Country: Japan
Competition: J-League Cup, Country: Japan
Competition: J1 League, Country: Japan
Competition: J2 League, Country: Japan
Competition: J3 League, Country: Japan
Competition: Premier League, Country: Kazakhstan
Competition: FKF Premier League, Country: Kenya
Competition: DBU Pokalen, Country: Denmark
Competition: Ligue Haïtienne, Country: Haiti
Competition: 1. Liga, Country: Latvia
Competition: Virsliga, Country: Latvia
Competition: 1 Lyga, Country: Lithuania
Competition: A Lyga, Country: Lithuania
Competition: Community Shield, Country: England
Competition: League Cup, Country: Singapore
Competition: SAFF Championship, Country: World
Competition: Division di Honor, Country: Aruba
Competition: Cup, Country: Azerbaidjan
Competition: FA Cup, Country: Thailand
Competition: National Football League, Country: Fiji
Competition: Feminine Division 1, Country: France
Competition: UEFA Europa League, Country: World
Competition: Erovnuli Liga, Country: Georgia
Competition: Ligue 1, Country: Guinea
Competition: World Cup - Qualification Intercontinental Play-offs, Country: World
Competition: Acreano, Country: Brazil
Competition: AFC Challenge Cup, Country: World
Competition: Super Cup, Country: Italy
Competition: African Nations Championship, Country: World
Competition: AFF Championship, Country: World
Competition: Liga Profesional Argentina, Country: Argentina
Competition: League One, Country: Scotland
Competition: League Two, Country: Scotland
Competition: CONCACAF Gold Cup, Country: World
Competition: EAFF E-1 Football Championship, Country: World
Competition: OFC Champions League, Country: World
Competition: Super Cup, Country: Belgium
Competition: Super Cup, Country: Chile
Competition: Africa Cup of Nations, Country: World
Competition: Copa America, Country: World
Competition: Super Cup, Country: Czech-Republic
Competition: USL Championship, Country: USA
Competition: Premier League, Country: Ethiopia
Competition: 2nd Division - Group 1, Country: Denmark
Competition: 2nd Division - Group 2, Country: Denmark
Competition: Ligi kuu Bara, Country: Tanzania
Competition: Super Cup, Country: Portugal
Competition: Supercupa, Country: Romania
Competition: Super Cup, Country: Spain
Competition: Japan Football League, Country: Japan
Competition: Denmark Series - Group 4, Country: Denmark
Competition: Ettan - Norra, Country: Sweden
Competition: Ettan - Södra, Country: Sweden
Competition: 1st League - RS, Country: Bosnia
Competition: 1st League - FBiH, Country: Bosnia
Competition: K3 League, Country: South-Korea
Competition: Hazfi Cup, Country: Iran
Competition: Liga Alef, Country: Israel
Competition: 2. liga, Country: Slovakia
Competition: Coupe Nationale, Country: Algeria
Competition: Amapaense, Country: Brazil
Competition: Amazonense, Country: Brazil
Competition: Olympics Women, Country: World
Competition: UEFA Super Cup, Country: World
Competition: Super Cup, Country: Netherlands
Competition: 2. Deild, Country: Iceland
Competition: Premier League, Country: Singapore
Competition: Cup, Country: Bosnia
Competition: Premijer Liga, Country: Bosnia
Competition: First League, Country: Macedonia
Competition: Liga Leumit, Country: Israel
Competition: Ligat Ha'al, Country: Israel
Competition: Ligue 1, Country: Ivory-Coast
Competition: Challenge League, Country: Malta
Competition: Premier League, Country: Malta
Competition: Super Liga, Country: Moldova
Competition: Primera Division, Country: Nicaragua
Competition: Taça de Portugal, Country: Portugal
Competition: NPFL, Country: Nigeria
Competition: Premier Soccer League, Country: Zimbabwe
Competition: Sudani Premier League, Country: Sudan
Competition: Ligue 1, Country: Senegal
Competition: Campionato, Country: San-Marino
Competition: Elite One, Country: Cameroon
Competition: C-League, Country: Cambodia
Competition: Premier League, Country: Bahrain
Competition: Championnat National, Country: Benin
Competition: Premier League, Country: Bermuda
Competition: Super League, Country: Bhutan
Competition: Premier League, Country: Botswana
Competition: Premier League, Country: Bangladesh
Competition: CONCACAF Champions League, Country: World
Competition: AFC Champions League, Country: World
Competition: Gulf Cup of Nations, Country: World
Competition: International Champions Cup, Country: World
Competition: Segunda División, Country: Spain
Competition: Serie B, Country: Italy
Competition: Eliteserien, Country: Norway
Competition: Eerste Divisie, Country: Netherlands
Competition: Segunda Liga, Country: Portugal
Competition: Allsvenskan, Country: Sweden
Competition: Primera División, Country: Costa-Rica
Competition: Úrvalsdeild, Country: Iceland
Competition: Super League, Country: China
Competition: Coppa Italia, Country: Italy
Competition: Botola Pro, Country: Morocco
Competition: Super League, Country: Switzerland
Competition: HNL, Country: Croatia
Competition: Premier League, Country: Russia
Competition: Primera A, Country: Colombia
Competition: Division Profesional - Apertura, Country: Paraguay
Competition: Copa Do Brasil, Country: Brazil
Competition: KNVB Beker, Country: Netherlands
Competition: Challenger Pro League, Country: Belgium
Competition: Second League, Country: Bulgaria
Competition: League One, Country: China
Competition: Capital Territory NPL, Country: Australia
Competition: Primera B, Country: Colombia
Competition: First NL, Country: Croatia
Competition: Serie C - Girone A, Country: Italy
Competition: Super League Women, Country: Belgium
Competition: Brasileiro Women, Country: Brazil
Competition: FA WSL, Country: England
Competition: Frauen Bundesliga, Country: Germany
Competition: Serie A Women, Country: Italy
Competition: Eredivisie Women, Country: Netherlands
Competition: Primera División Femenina, Country: Spain
Competition: Copa Argentina, Country: Argentina
Competition: A-League Women, Country: Australia
Competition: First League, Country: Russia
Competition: 1. Deild, Country: Iceland
Competition: Division Intermedia, Country: Paraguay
Competition: 1. Division, Country: Norway
